Example app listening at http://localhost:3004
MongoDB connected...
INVESTOR ID:: 94  | ACTUAL WALLET AMOUNT:: -222.29  | WALLET AMOUNT:: 373.46  | DIFFERENCE:: -595.75
INVESTOR ID:: 95  | ACTUAL WALLET AMOUNT:: 62.66  | WALLET AMOUNT:: 62.66  | DIFFERENCE:: 0.00
INVESTOR ID:: 96  | ACTUAL WALLET AMOUNT:: 35.42  | WALLET AMOUNT:: 35.42  | DIFFERENCE:: 0.00
INVESTOR ID:: 97  | ACTUAL WALLET AMOUNT:: 1375.36  | WALLET AMOUNT:: 1008.86  | DIFFERENCE:: 366.50
INVESTOR ID:: 98  | ACTUAL WALLET AMOUNT:: 61.26  | WALLET AMOUNT:: 56.23  | DIFFERENCE:: 5.03
INVESTOR ID:: 99  | ACTUAL WALLET AMOUNT:: 51.13  | WALLET AMOUNT:: 51.13  | DIFFERENCE:: 0.00
INVESTOR ID:: 100  | ACTUAL WALLET AMOUNT:: 67.23  | WALLET AMOUNT:: 41.56  | DIFFERENCE:: 25.67
INVESTOR ID:: 101  | ACTUAL WALLET AMOUNT:: 14.19  | WALLET AMOUNT:: 14.19  | DIFFERENCE:: 0.00
INVESTOR ID:: 102  | ACTUAL WALLET AMOUNT:: 262.21  | WALLET AMOUNT:: 262.21  | DIFFERENCE:: 0.00
INVESTOR ID:: 103  | ACTUAL WALLET AMOUNT:: 83.86  | WALLET AMOUNT:: 83.86  | DIFFERENCE:: 0.00
INVESTOR ID:: 104  | ACTUAL WALLET AMOUNT:: 153.17  | WALLET AMOUNT:: 153.17  | DIFFERENCE:: 0.00
INVESTOR ID:: 105  | ACTUAL WALLET AMOUNT:: 95.90  | WALLET AMOUNT:: 30.21  | DIFFERENCE:: 65.69
INVESTOR ID:: 106  | ACTUAL WALLET AMOUNT:: -195.10  | WALLET AMOUNT:: 104.90  | DIFFERENCE:: -300.00
INVESTOR ID:: 107  | ACTUAL WALLET AMOUNT:: 21.58  | WALLET AMOUNT:: 21.58  | DIFFERENCE:: 0.00
INVESTOR ID:: 108  | ACTUAL WALLET AMOUNT:: 106.05  | WALLET AMOUNT:: 106.05  | DIFFERENCE:: 0.00
INVESTOR ID:: 109  | ACTUAL WALLET AMOUNT:: 250.41  | WALLET AMOUNT:: 250.41  | DIFFERENCE:: 0.00
INVESTOR ID:: 110  | ACTUAL WALLET AMOUNT:: 42.95  | WALLET AMOUNT:: 42.95  | DIFFERENCE:: 0.00
INVESTOR ID:: 111  | ACTUAL WALLET AMOUNT:: 150.65  | WALLET AMOUNT:: 39.05  | DIFFERENCE:: 111.60
INVESTOR ID:: 112  | ACTUAL WALLET AMOUNT:: 120.83  | WALLET AMOUNT:: 120.83  | DIFFERENCE:: 0.00
